Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords,
left,Roi Lagunzad Portfolio ,Creative Technology,"This is a personal portfolio website of Roi Lagunzad. I really like his overall visual style, which is very uniform. The continuous splash screen effect adds more sci-fi elements. When the mouse cursor clicks on some subheadings, there are corresponding effects. I really want to use a similar effect in my workbook.",images/roi.PNG,,This is the homepage.,,https://www.roilagunzad.com/,"Web Design, Creative Coding, Personal Branding", 
leftDoubleImage,Sillk,Interactive Art by Yuri Vishnevsk,"On this website, users can create their own interactive paintings. By simply moving the mouse, it is instantly transformed into perfectly symmetrical, flowing colored light like silk. Users can also adjust the brush colour, rotational symmetry, mirror effect, and spiral effect, and randomly generate the works. This inspired my attempts in p5.js animations, and I also added similar effects in the workbook.",images/silk1.PNG,images/silk2.PNG,This is the homepage.,My attempt,http://weavesilk.com/,"Generative Art, Creative Coding, Interactive Design",
leftDoubleImage,Patience.toys,A meditative web game by Tom,"Patience.toys is essentially an ""anti-game"" game. Its rules involve a slowly filling progress bar, along with some pixel-style elements. You cannot speed up, cannot skip, and can only wait. Each time the progress bar is filled, the page will briefly flash and start over. There are no scores, no leaderboards, no wins or losses, but there is feedback (visual). This storytelling approach inspired me. I hope to try similar web design, and in Final, I will try a similar storytelling approach.",images/toys1.PNG,images/toys2.PNG,This is the homepage.,The process of traveling,https://patience.toys/,"Web Game, Creative Coding, Interaction Design",
left,The House,"A web puzzle adventure game built with HTML, CSS and JavaScript","""The House"" is a puzzle game created by developer Artur Kot using HTML/CSS/JS. Players click on the elements on the page with the mouse and move around the room to search for clues, solving puzzles and eventually escaping. What impressed me the most about this work is that the author achieved the game effect through front-end web technologies, and this way of telling the story is also something I want to incorporate in my final project.",images/thehouse.PNG,,Screenshot of the game: point-and-click adventure interface.,,https://github.com/arturkot/the-house-game,"Web Game, HTML/CSS/JS, Creative Coding, Storytelling",
leftDoubleImage,Quad bisect painter,An interactive painting tool,"This work is an interactive painting tool based on the ""quadrilateral division algorithm"". After opening the page, by pressing the keys 1 to 5 on the keyboard, you can switch between different brush modes. Using the mouse to click or drag on the canvas, the algorithm will generate abstract geometric patterns composed of continuously subdivided rectangles in real time. I want to try algorithmic painting in the p5.js practice, allowing the audience to also participate in the creative process, rather than just watching a fixed animation.",images/quad1.PNG,images/quad2.PNG,Different values result in different densities of the graphs.,,https://openprocessing.org/@neill/2802644,"Creative Coding, p5.js",
leftDoubleImage,Patatap,Portable animation and sound kit,"Patatap transforms the entire keyboard into an improvisational musical instrument. By pressing any letter key, the screen simultaneously triggers specific graphic animations and electronic sound effects; different keys result in different combinations of sound and visuals. This work provided me with inspiration for my final project, regarding the connection between the model and the screen that I wanted to create. I can use buttons on the model as triggers instead of the keyboard for the activation of animations and sounds.",images/patatap.PNG,images/patatap2.PNG,Pressing different keyboard letters will result in different animation effects and sound effects.,,https://patatap.com/,"Creative Coding, Interactive Design, Sound, Animation",
left,House Model ,Handmade full house miniature ,"This small house model is a complete building. Unlike the previous ""partial scene of the kitchen"", it shows the exterior structure of the house. This gave me another idea for the final project. By combining the animations displayed on the screen, the model of this house can have a microphone inserted inside. The audience can control the animations on the screen by speaking and describing.",images/model2.jpg,,Complete handmade miniature house,,Source: Pinterest,Miniature Modelleft,
leftDoubleImage,Window Swap,Open a random window view from somewhere in the world,"Each time you click on ""Window Swap"", a short video (usually around 10 seconds) is randomly played, which is shot from the windows of people's homes around the world. There are no filters or explanations, just a snippet of the real world. This randomness is very interesting. In the initial design of the workbook, I also wanted to include mini-games. After completing the mini-game, you would randomly enter the page. This randomness might also stimulate the curiosity of the audience. At the same time, this website can also allow users to upload their own window views, creating a connection and enhancing the interaction and participation of the audience.",images/window1.PNG,images/window2.PNG,This is the homepage.,A random window view from someone's home.,https://www.window-swap.com/,"Web Design, Interactive Experience",
leftDoubleImage,Akira Wakita,The combination of art and science,"On the left is Akira Wakita's work ""Dismantling Awe"". He created the scene in a large cave using multiple layers of gauze, giant fans and 8K projection to depict the movement of the wind. I believe this well demonstrates my initial understanding of interactive media. Through installation art, it provides the audience with more senses. They do not express their meanings directly like many traditional artworks do; instead, they provide the audience with sensory experiences and feelings.",images/wind1.PNG,,"Akira Wakita, Dismantling Awe, 2018, Installation at Oya History Museum.",,https://akirawakita.com/en/works/dismantle/,"Installation, Art-Science, Physical Computing",
leftDoubleImage,Jon Kessler,The Palace at 4 A.M. — immersive video mechanical installation,"This piece is a very well represents the concept of interactive media in my mind. The extensive use of screens, as well as the direct display of wires, cameras and other elements, create a strong visual impact. At the same time, other decorations are combined together to elaborate and express. The combination of these mixed materials also provided me with inspiration for my final project.",images/4am1.PNG,images/4am2.PNG,"The Palace at 4 A.M., 2005, PS1/MoMA.",,https://www.jonkessler.com/the-palace-at-4-am,"Installation, Interactive Experience",
leftDoubleImage,David Rokeby,Interactive Installation Art,"In 1982, David Rokeby used a camera to capture people's movements and generated music in real time. This really shocked me. Usually, dancers generate movements through music. But this work reverses this logic. The system generates music based on human movements. The author himself emphasizes that the core of this work is not the sound or the movements; rather, it focuses on the interaction and connection between people's bodies and the mechanical systems. This work has inspired many subsequent motion-sensing games.I think this work accurately depicts the interaction between the audience and the work in the field of interaction design.",images/vns1.jpg,images/vns2.jpg,David Rokeby in Very Nervous System in the street in Potsdam in 1993,one of 3 16 x 16 pixel hand-built cameras in Very Nervous System at the Venice Biennale in 1986,http://www.davidrokeby.com/vns.html,"Physical Computing, Interactive Art",
leftDoubleImage,Zach Lieberman,EyeWriter ,"This is a case that was mentioned in class and left a deep impression on me. Zach Lieberman's collaborative work, ""EyeWriter"": Using very inexpensive webcams and open-source software, it enabled a graffiti artist who was almost completely paralyzed to continue creating simply by moving their eyes, and even projected the paintings onto the buildings of the city. This work demonstrates that interactive media is not only a form of modern art, but also can truly become a tool to help humanity.",images/eye1.jpeg,images/eye2.jpeg,How the artist using equipment on the bed.,Projection of the artist's works,https://www.eyewriter.org/,"Art-Science, Physical Computing",
